SOURCE_FILE,SPOT_COUNT,FRAMECOUNT,CHANNEL,MODEL,DATE,SPOTS_PER_FRAME
200219_elf5kaihugo_1715_5wkteb_arith_corr_crop 3D_YFP_38-50_spots.csv,306,22,YFP,ELF5,,13.909090909090908
200219_elf5kaihugo_1715_5wkteb_arith_corr_crop 3D_YFP_58-87_spots.csv,77,20,YFP,ELF5,,3.85
200329_pr_duct_corr_3Ddrift_CFP_14-18_spots.csv,35,12,CFP,PR,,2.9166666666666665
200329_pr_duct_corr_3Ddrift_CFP_19-25_spots.csv,7,7,CFP,PR,,1.0
200329_pr_duct_corr_3Ddrift_CFP_3-8_spots.csv,43,12,CFP,PR,,3.5833333333333335
200329_pr_duct_corr_3Ddrift_CFP_9-13_spots.csv,27,10,CFP,PR,,2.7
200329_pr_duct_corr_3Ddrift_RFP_13-17_spots.csv,23,10,RFP,PR,,2.3
200329_pr_duct_corr_3Ddrift_RFP_18-24_spots.csv,18,13,RFP,PR,,1.3846153846153846
200329_pr_duct_corr_3Ddrift_RFP_3-7_spots.csv,18,8,RFP,PR,,2.25
200329_pr_duct_corr_3Ddrift_RFP_8-12_spots.csv,11,11,RFP,PR,,1.0
200329_pr_duct_corr_3Ddrift_YFP_1-7_spots.csv,95,13,YFP,PR,,7.3076923076923075
200329_pr_duct_corr_3Ddrift_YFP_13-24_spots.csv,84,13,YFP,PR,,6.461538461538462
200329_pr_duct_corr_3Ddrift_YFP_8-12_spots.csv,99,13,YFP,PR,,7.615384615384615
201207_pr_duct_cfp_20-24_spots.csv,28,17,CFP,PR,,1.6470588235294117
201207_pr_duct_cfp_25-32_spots.csv,22,16,CFP,PR,,1.375
201207_pr_duct_cfp_9-19_spots.csv,62,18,CFP,PR,,3.4444444444444446
201207_pr_duct_rfp_19-23_spots.csv,69,18,RFP,PR,,3.8333333333333335
201207_pr_duct_rfp_24-28_spots.csv,69,18,RFP,PR,,3.8333333333333335
201207_pr_duct_rfp_29-33_spots.csv,11,11,RFP,PR,,1.0
201207_pr_duct_rfp_34-43_spots.csv,7,7,RFP,PR,,1.0
201207_pr_duct_rfp_7-18_spots.csv,33,18,RFP,PR,,1.8333333333333333
201207_pr_duct_yfp_17-22_spots.csv,39,18,YFP,PR,,2.1666666666666665
201207_pr_duct_yfp_23-27_spots.csv,47,17,YFP,PR,,2.764705882352941
201207_pr_duct_yfp_28-32_spots.csv,35,16,YFP,PR,,2.1875
201207_pr_duct_yfp_33-43_spots.csv,16,15,YFP,PR,,1.0666666666666667
201207_pr_duct_yfp_9-16_spots.csv,66,18,YFP,PR,,3.6666666666666665
201215_prhugo894_6dplug_3Ddrift_CFP_22-40_spots.csv,24,16,CFP,PR,,1.5
201215_prhugo894_6dplug_3Ddrift_CFP_4-22_spots.csv,23,17,CFP,PR,,1.3529411764705883
201215_prhugo894_6dplug_3Ddrift_CFP_43-59_spots.csv,54,17,CFP,PR,,3.176470588235294
201215_prhugo894_6dplug_3Ddrift_RFP_14-17_spots.csv,22,14,RFP,PR,,1.5714285714285714
201215_prhugo894_6dplug_3Ddrift_RFP_18-23_spots.csv,40,17,RFP,PR,,2.3529411764705883
201215_prhugo894_6dplug_3Ddrift_RFP_24-29_spots.csv,59,17,RFP,PR,,3.4705882352941178
201215_prhugo894_6dplug_3Ddrift_RFP_30-34_spots.csv,86,17,RFP,PR,,5.0588235294117645
201215_prhugo894_6dplug_3Ddrift_RFP_35-44_spots.csv,92,17,RFP,PR,,5.411764705882353
201215_prhugo894_6dplug_3Ddrift_RFP_43-57_spots.csv,101,17,RFP,PR,,5.9411764705882355
201215_prhugo894_6dplug_3Ddrift_RFP_5-13_spots.csv,24,17,RFP,PR,,1.411764705882353
201215_prhugo894_6dplug_3Ddrift_RFP_64-73_spots.csv,73,17,RFP,PR,,4.294117647058823
201215_prhugo894_6dplug_3Ddrift_YFP_27-44_spots.csv,87,17,YFP,PR,,5.117647058823529
201215_prhugo894_6dplug_3Ddrift_YFP_4-26_spots.csv,30,14,YFP,PR,,2.142857142857143
201215_prhugo894_6dplug_3Ddrift_YFP_50-62_spots.csv,15,15,YFP,PR,,1.0
201215_prhugo_6dplug_910_3Ddrift_CFP_13-18_spots.csv,54,16,CFP,PR,,3.375
201215_prhugo_6dplug_910_3Ddrift_CFP_19-23_spots.csv,122,16,CFP,PR,,7.625
201215_prhugo_6dplug_910_3Ddrift_CFP_24-28_spots.csv,142,16,CFP,PR,,8.875
201215_prhugo_6dplug_910_3Ddrift_CFP_29-33_spots.csv,106,16,CFP,PR,,6.625
201215_prhugo_6dplug_910_3Ddrift_CFP_34-41_spots.csv,78,16,CFP,PR,,4.875
201215_prhugo_6dplug_910_3Ddrift_CFP_5-11_spots.csv,4,4,CFP,PR,,1.0
201215_prhugo_6dplug_910_3Ddrift_RFP_12-17_spots.csv,141,16,RFP,PR,,8.8125
201215_prhugo_6dplug_910_3Ddrift_RFP_18-22_spots.csv,180,16,RFP,PR,,11.25
201215_prhugo_6dplug_910_3Ddrift_RFP_23-27_spots.csv,227,16,RFP,PR,,14.1875
